на основании объемов PRZ к STD costing;;;
21/22;;;
;;;
;;;
HFM Family;Subclass;pack;Total
Grand Total;;;348 224,77
RAF;RAFFAELLO;T15X6;52 981,18
KSR;KINDER SURPRISE;T1X36;46 033,83
NUT;NUTELLA;G350X15;42 986,22
KCC;KINDER CHOCOLATE;T4X20X8;39 881,42
KCC;KINDER CHOCOLATE;T8X10X4;38 304,71
NUT;NUTELLA;G180X8;20 628,48
NUT;NUTELLA;G630X6;20 538,14
NUT;NUTELLA;G350X5;11 029,20
RAB;RAFFAELLO;T15X6;9 638,21
KCM;KINDER MAXI;T1X36X8;8 283,71
ROC;ROCHER;T10X6;6 887,35
RAF;RAFFAELLO;T9X12;6 331,34
RAF;RAFFAELLO;T1X285;5 993,57
RAF;RAFFAELLO;T24X6;5 849,46
RAF;RAFFAELLO;T20X4;3 717,11
RAF;RAFFAELLO;T7X20;3 507,82
KMM;KINDER MIX;G223X10;2 881,73
TIC;TIC TAC;T1X12X24;2 749,29
KMM;KINDER MIX;G199X10;2 642,40
RAF;RAFFAELLO;T26X6;2 511,61
RAF;RAFFAELLO;T10X6;1 937,85
KCM;KINDER MAXI;T4X20;1 666,57
KSR;KINDER SURPRISE;T3X16;1 526,28
RAF;RAFFAELLO;T4X16X4;1 340,06
KMM;KINDER MIX;G106,5X24;1 325,14
RAF;RAFFAELLO;T15X48;1 212,34
KMM;KINDER MIX;G137,5X8;923,54
KMM;KINDER MIX;G99,7X6;698,17
RAF;RAFFAELLO;T50X2;682,35
KCC;KINDER CHOCOLATE;T(8X3)X12;509,24
RAF;RAFFAELLO;T(4X2)X20;493,81
RAF;RAFFAELLO;T30X8;389,44
MWF;MISTE WAFERATE(COLLECTION);T10X6;299,83
KMM;KINDER MIX;G187X6;299,06
RAF;RAFFAELLO;T12X9;285,00
RAF;RAFFAELLO;T4X18;277,08
ROC;ROCHER;T6X12;257,43
KCC;KINDER CHOCOLATE;T(8X2)X10;203,84
KSR;KINDER SURPRISE;T2X14;118,11
RAF;RAFFAELLO;T4X12;94,95
ROC;ROCHER;T3X12;83,59
RAB;RAFFAELLO;T15X48;74,85
MWF;MISTE WAFERATE(COLLECTION);T6X12;61,23
RAB;RAFFAELLO;T15X54;46,71
RAF;RAFFAELLO;T21X8;41,50
PRM;MIX KINDER;P128;0,00
PRM;MIX PREMIUM CHOCOLATES;P54;0,00
